Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,536576,139.788,75007.111,45.17
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,270384,184.986,50017.202,30.12
fused_recurrent_gated_delta_ru_18...,91680,205.365,18827.889,11.34
Kernel2,102592,46.549,4775.556,2.88
flash_fwd_splitkv_kernel,33536,78.524,2633.375,1.59
ncclDevKernel_AllGather_RING_LL,2096,1212.134,2540.633,1.53
silu_and_mul_per_block_quant_kernel,134144,14.449,1938.274,1.17
fused_sigmoid_gating_delta_rul_19...,8832,199.748,1764.178,1.06
per_token_group_quant_8bit_kernel,402432,3.752,1509.754,0.91
triton_red_fused__to_copy_add__10...,67072,8.23,552.003,0.33
triton_poi_fused__to_copy__uns_8...,100608,5.304,533.616,0.32
triton_red_fused__to_copy_add__9...,100608,5.132,516.288,0.31
_causal_conv1d_update_kernel,91680,5.004,458.804,0.28
chunk_fwd_kernel_o,8928,46.677,416.73,0.25
chunk_gated_delta_rule_fwd_ker_6...,8928,43.296,386.548,0.23
elementwise_kernel,102476,2.974,304.724,0.18
merge_16x16_to_64x64_inverse_k_5...,8928,33.25,296.857,0.18
triton_red_fused__to_copy_add__11...,33536,8.254,276.789,0.17
triton_red_fused__to_copy_add__15...,33536,8.145,273.161,0.16
_causal_conv1d_fwd_kernel,8928,30.223,269.829,0.16
vectorized_gather_kernel,12342,20.03,247.215,0.15
recompute_w_u_fwd_kernel,8928,23.565,210.385,0.13
triton_per_fused__to_copy_mean_7...,100608,2.07,208.295,0.13
unrolled_elementwise_kernel,41316,4.497,185.797,0.11
triton_red_fused__to_copy_add__14...,33536,5.208,174.661,0.11
splitKreduce_kernel,93504,1.86,173.942,0.1
vectorized_elementwise_kernel,31796,5.084,161.644,0.1
triton_poi_fused_4,100608,1.215,122.277,0.07
index_elementwise_kernel,11980,9.887,118.445,0.07
chunk_scaled_dot_kkt_fwd_kerne_4...,8928,12.74,113.747,0.07
triton_poi_fused_7,33536,3.203,107.408,0.06
flash_fwd_splitkv_combine_kernel,30560,3.508,107.196,0.06
_fused_post_conv_kernel,8928,11.633,103.863,0.06
CatArrayBatchedCopy_vectorized,17664,5.286,93.378,0.06
triton_poi_fused_zeros_5,67072,1.266,84.896,0.05
triton_poi_fused_mul_per_token_13...,33536,2.467,82.742,0.05
reshape_and_cache_flash_kernel,33536,2.395,80.318,0.05
triton_red_fused_5,33536,1.989,66.693,0.04
triton_poi_fused_clone_copy_in_12...,33536,1.737,58.257,0.04
reduce_kernel,2096,25.781,54.037,0.03
triton_poi_fused_zeros_4,31440,1.452,45.647,0.03
chunk_local_cumsum_scalar_kern_3...,8928,4.605,41.11,0.02
_zero_kv_blocks_kernel,186,207.346,38.566,0.02
triton_poi_fused_3,31440,1.036,32.581,0.02
ampere_bf16_s16816gemm_bf16_12_20...,10,1957.363,19.574,0.01
triton_red_fused__to_copy_add__2...,2096,3.84,8.048,0.0
kernel,100,74.655,7.466,0.0
_compute_slot_mapping_kernel,2096,2.261,4.738,0.0
triton_poi_fused_zeros_0,2096,1.946,4.079,0.0
ampere_bf16_s16816gemm_bf16_64_21...,2,2001.196,4.002,0.0
triton_poi_fused_add_bitwise_a_1...,2518,1.194,3.006,0.0
triton_poi_fused_2,2096,1.036,2.172,0.0
_scatter_gather_elementwise_kernel,184,1.841,0.339,0.0
indexSelectSmallIndex,6,3.824,0.023,0.0
triton_poi_fused_add_bitwise_a_16...,2,1.184,0.002,0.0
triton_poi_fused_bitwise_and_b_17...,2,1.088,0.002,0.0
