Name,Count,mean_us,sum_ms,pct_of_kernel_time
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,24892,1206.094,30022.079,42.44
_w8a8_triton_block_scaled_mm,45568,549.568,25042.69,35.4
Kernel2,10630,421.129,4476.601,6.33
ncclDevKernel_AllGather_RING_LL,2108,1206.234,2542.742,3.59
fused_sigmoid_gating_delta_rul_18...,8736,197.257,1723.238,2.44
silu_and_mul_per_block_quant_kernel,11392,121.805,1387.601,1.96
per_token_group_quant_8bit_kernel,34176,14.041,479.853,0.68
triton_red_fused__to_copy_add__10...,5696,71.498,407.253,0.58
flash_fwd_splitkv_kernel,2944,136.797,402.73,0.57
chunk_gated_delta_rule_fwd_ker_6...,8832,43.642,385.447,0.54
triton_poi_fused__to_copy__uns_8...,8544,43.154,368.708,0.52
chunk_fwd_kernel_o,8832,37.325,329.657,0.47
triton_red_fused__to_copy_add__9...,8544,35.063,299.579,0.42
merge_16x16_to_64x64_inverse_k_5...,8832,33.36,294.635,0.42
_causal_conv1d_fwd_kernel,8832,31.827,281.098,0.4
vectorized_gather_kernel,11786,21.031,247.869,0.35
recompute_w_u_fwd_kernel,8832,23.994,211.913,0.3
triton_red_fused__to_copy_add__11...,2848,72.848,207.471,0.29
triton_red_fused__to_copy_add__15...,2848,70.88,201.866,0.29
elementwise_kernel,41072,4.474,183.774,0.26
unrolled_elementwise_kernel,40282,4.545,183.085,0.26
index_elementwise_kernel,12372,11.931,147.615,0.21
chunk_scaled_dot_kkt_fwd_kerne_4...,8832,12.72,112.347,0.16
triton_red_fused__to_copy_add__14...,2848,39.18,111.584,0.16
_fused_post_conv_kernel,8832,11.775,103.995,0.15
CatArrayBatchedCopy_vectorized,17472,5.406,94.445,0.13
reduce_kernel,2108,26.813,56.522,0.08
vectorized_elementwise_kernel,32172,1.66,53.414,0.08
triton_poi_fused_7,2848,16.04,45.68,0.06
triton_poi_fused_mul_per_token_13...,2848,15.65,44.572,0.06
chunk_local_cumsum_scalar_kern_3...,8832,4.521,39.93,0.06
_zero_kv_blocks_kernel,178,217.971,38.799,0.05
triton_per_fused__to_copy_mean_7...,8544,4.51,38.53,0.05
triton_poi_fused_zeros_5,5696,4.435,25.263,0.04
triton_poi_fused_4,8544,2.842,24.282,0.03
ampere_bf16_s16816gemm_bf16_12_19...,12,1952.468,23.43,0.03
reshape_and_cache_flash_kernel,2944,7.862,23.147,0.03
triton_red_fused_5,2848,7.683,21.881,0.03
triton_poi_fused_zeros_4,2670,4.434,11.839,0.02
ampere_bf16_s16816gemm_bf16_64_20...,6,1963.532,11.781,0.02
triton_poi_fused_clone_copy_in_12...,2848,2.5,7.121,0.01
kernel,4,1765.33,7.061,0.01
_compute_slot_mapping_kernel,2108,2.265,4.775,0.01
triton_poi_fused_3,2670,1.363,3.639,0.01
triton_poi_fused_add_bitwise_a_1...,2106,1.096,2.308,0.0
triton_red_fused__to_copy_add__2...,178,12.225,2.176,0.0
splitKreduce_kernel,1152,1.672,1.927,0.0
triton_poi_fused_zeros_0,178,5.923,1.054,0.0
_scatter_gather_elementwise_kernel,180,1.838,0.331,0.0
triton_poi_fused_2,178,1.203,0.214,0.0
indexSelectSmallIndex,10,4.374,0.044,0.0
triton_poi_fused_add_bitwise_a_16...,2,1.184,0.002,0.0
triton_poi_fused_bitwise_and_b_17...,2,1.072,0.002,0.0
