Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,537088,143.499,77071.773,45.94
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,270642,184.055,49813.02,29.69
fused_recurrent_gated_delta_ru_18...,91488,205.533,18803.764,11.21
Kernel2,102592,47.44,4866.99,2.9
flash_fwd_splitkv_kernel,33568,78.742,2643.211,1.58
ncclDevKernel_AllGather_RING_LL,2098,1213.404,2545.722,1.52
fused_sigmoid_gating_delta_rul_19...,9120,193.74,1766.907,1.05
silu_and_mul_per_block_quant_kernel,134272,13.007,1746.505,1.04
per_token_group_quant_8bit_kernel,402816,3.743,1507.616,0.9
triton_red_fused__to_copy_add__10...,67136,8.186,549.59,0.33
triton_poi_fused__to_copy__uns_8...,100704,5.435,547.369,0.33
triton_red_fused__to_copy_add__9...,100704,5.121,515.676,0.31
_causal_conv1d_update_kernel,91488,4.991,456.576,0.27
chunk_fwd_kernel_o,9216,46.451,428.091,0.26
chunk_gated_delta_rule_fwd_ker_6...,9216,38.679,356.463,0.21
elementwise_kernel,103440,2.943,304.464,0.18
merge_16x16_to_64x64_inverse_k_5...,9216,32.228,297.014,0.18
triton_red_fused__to_copy_add__11...,33568,8.312,279.029,0.17
triton_red_fused__to_copy_add__15...,33568,8.223,276.024,0.16
vectorized_gather_kernel,12342,19.595,241.845,0.14
_causal_conv1d_fwd_kernel,9216,26.053,240.104,0.14
recompute_w_u_fwd_kernel,9216,22.774,209.888,0.13
triton_per_fused__to_copy_mean_7...,100704,1.926,194.007,0.12
unrolled_elementwise_kernel,40648,4.536,184.379,0.11
triton_red_fused__to_copy_add__14...,33568,5.309,178.217,0.11
splitKreduce_kernel,93312,1.86,173.542,0.1
vectorized_elementwise_kernel,33648,4.844,162.991,0.1
triton_poi_fused_4,100704,1.195,120.377,0.07
chunk_scaled_dot_kkt_fwd_kerne_4...,9216,12.968,119.509,0.07
index_elementwise_kernel,12566,8.955,112.528,0.07
flash_fwd_splitkv_combine_kernel,30496,3.52,107.353,0.06
triton_poi_fused_7,33568,3.192,107.149,0.06
CatArrayBatchedCopy_vectorized,18240,5.163,94.168,0.06
_fused_post_conv_kernel,9216,10.163,93.663,0.06
triton_poi_fused_zeros_5,67136,1.267,85.089,0.05
triton_poi_fused_mul_per_token_13...,33568,2.506,84.109,0.05
reshape_and_cache_flash_kernel,33568,2.404,80.683,0.05
triton_red_fused_5,33568,1.988,66.726,0.04
triton_poi_fused_clone_copy_in_12...,33568,1.742,58.49,0.03
reduce_kernel,2098,25.581,53.668,0.03
chunk_local_cumsum_scalar_kern_3...,9216,4.487,41.348,0.02
triton_poi_fused_zeros_4,31470,1.267,39.878,0.02
_zero_kv_blocks_kernel,190,201.747,38.332,0.02
triton_poi_fused_3,31470,1.043,32.831,0.02
ampere_bf16_s16816gemm_bf16_12_20...,10,1952.643,19.526,0.01
kernel,198,57.487,11.383,0.01
triton_red_fused__to_copy_add__2...,2098,3.717,7.798,0.0
_compute_slot_mapping_kernel,2098,2.269,4.76,0.0
ampere_bf16_s16816gemm_bf16_64_21...,2,1986.78,3.974,0.0
triton_poi_fused_zeros_0,2098,1.814,3.805,0.0
triton_poi_fused_add_bitwise_a_1...,2518,1.252,3.152,0.0
triton_poi_fused_2,2098,1.04,2.181,0.0
_scatter_gather_elementwise_kernel,190,1.853,0.352,0.0
indexSelectSmallIndex,8,3.528,0.028,0.0
triton_poi_fused_add_bitwise_a_16...,4,1.216,0.005,0.0
triton_poi_fused_bitwise_and_b_17...,4,1.08,0.004,0.0
