Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,540160,143.138,77317.648,45.93
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,272190,184.094,50108.539,29.76
fused_recurrent_gated_delta_ru_18...,92640,203.573,18859.044,11.2
Kernel2,103272,47.372,4892.184,2.91
flash_fwd_splitkv_kernel,33760,77.833,2627.631,1.56
ncclDevKernel_AllGather_RING_LL,2110,1204.941,2542.426,1.51
silu_and_mul_per_block_quant_kernel,135040,12.967,1751.092,1.04
fused_sigmoid_gating_delta_rul_19...,8544,193.064,1649.538,0.98
per_token_group_quant_8bit_kernel,405120,3.743,1516.388,0.9
triton_red_fused__to_copy_add__10...,67520,8.63,582.724,0.35
triton_poi_fused__to_copy__uns_8...,101280,5.417,548.651,0.33
triton_red_fused__to_copy_add__9...,101280,5.088,515.357,0.31
_causal_conv1d_update_kernel,92640,4.948,458.424,0.27
chunk_fwd_kernel_o,8640,52.604,454.496,0.27
chunk_gated_delta_rule_fwd_ker_6...,8640,42.852,370.239,0.22
elementwise_kernel,102006,2.967,302.614,0.18
merge_16x16_to_64x64_inverse_k_5...,8640,34.053,294.217,0.17
triton_red_fused__to_copy_add__11...,33760,8.317,280.779,0.17
triton_red_fused__to_copy_add__15...,33760,8.236,278.04,0.17
vectorized_gather_kernel,11884,20.478,243.356,0.14
_causal_conv1d_fwd_kernel,8640,27.816,240.33,0.14
recompute_w_u_fwd_kernel,8640,24.396,210.785,0.13
triton_per_fused__to_copy_mean_7...,101280,2.068,209.492,0.12
unrolled_elementwise_kernel,39590,4.602,182.212,0.11
triton_red_fused__to_copy_add__14...,33760,5.349,180.582,0.11
splitKreduce_kernel,93696,1.86,174.238,0.1
vectorized_elementwise_kernel,32970,4.92,162.212,0.1
triton_poi_fused_4,101280,1.201,121.647,0.07
chunk_scaled_dot_kkt_fwd_kerne_4...,8640,13.626,117.733,0.07
index_elementwise_kernel,11890,9.769,116.149,0.07
flash_fwd_splitkv_combine_kernel,30880,3.505,108.24,0.06
triton_poi_fused_7,33760,3.178,107.289,0.06
_fused_post_conv_kernel,8640,10.767,93.027,0.06
CatArrayBatchedCopy_vectorized,17088,5.434,92.852,0.06
triton_poi_fused_zeros_5,67520,1.265,85.409,0.05
triton_poi_fused_mul_per_token_13...,33760,2.471,83.408,0.05
reshape_and_cache_flash_kernel,33760,2.397,80.908,0.05
triton_red_fused_5,33760,1.976,66.699,0.04
triton_poi_fused_clone_copy_in_12...,33760,1.742,58.814,0.03
reduce_kernel,2110,25.489,53.782,0.03
triton_poi_fused_zeros_4,31650,1.266,40.073,0.02
chunk_local_cumsum_scalar_kern_3...,8640,4.607,39.801,0.02
_zero_kv_blocks_kernel,176,218.988,38.542,0.02
triton_poi_fused_3,31650,1.041,32.956,0.02
ampere_bf16_s16816gemm_bf16_12_20...,12,1950.17,23.402,0.01
ampere_bf16_s16816gemm_bf16_64_21...,6,1957.6,11.746,0.01
triton_red_fused__to_copy_add__2...,2110,3.849,8.121,0.0
kernel,100,74.495,7.449,0.0
_compute_slot_mapping_kernel,2110,2.267,4.783,0.0
triton_poi_fused_zeros_0,2110,1.814,3.827,0.0
triton_poi_fused_add_bitwise_a_1...,2532,1.225,3.102,0.0
triton_poi_fused_2,2110,1.039,2.192,0.0
_scatter_gather_elementwise_kernel,176,1.845,0.325,0.0
indexSelectSmallIndex,12,4.547,0.055,0.0
triton_poi_fused_add_bitwise_a_16...,2,1.2,0.002,0.0
triton_poi_fused_bitwise_and_b_17...,2,1.072,0.002,0.0
